Hour,107 August CF,107 Jan CF,110 August CF,110 Jan CF,112 August CF,112 Jan CF,117 August CF,117 Jan CF,21 August CF,21 Jan CF,213 August CF,213 Jan CF,214 August CF,214 Jan CF,38 August CF,38 Jan CF,92 August CF,92 Jan CF,94 August CF,94 Jan CF
10,0.6733548387096774,0.7043870967741938,0.6736451612903226,0.7041935483870968,0.6737096774193548,0.7034193548387095,0.6744838709677419,0.704774193548387,0.6741290322580645,0.7047096774193549,0.6740645161290321,0.7043548387096773,0.6743225806451612,0.704548387096774,0.6735483870967741,0.7039354838709677,0.6739032258064516,0.7028387096774192,0.6734516129032259,0.7039354838709676
11,0.6762903225806451,0.7125806451612904,0.6764838709677418,0.7119677419354841,0.6766774193548387,0.7111935483870968,0.6775161290322579,0.7135483870967743,0.6771612903225805,0.7135483870967744,0.6769677419354837,0.7127419354838712,0.6772580645161288,0.7130967741935486,0.6765483870967741,0.7118064516129035,0.6768709677419353,0.710516129032258,0.6764838709677421,0.7119354838709678
12,0.6710967741935484,0.6785483870967742,0.6711290322580644,0.6778387096774195,0.6713870967741936,0.676258064516129,0.6719677419354838,0.6813548387096772,0.6717741935483871,0.6811612903225807,0.6715806451612905,0.6795483870967741,0.6719032258064517,0.6805483870967742,0.6711935483870969,0.6774516129032259,0.6713870967741935,0.6752258064516131,0.6711612903225807,0.67758064516129
13,0.6449354838709678,0.6066129032258065,0.645483870967742,0.6058709677419356,0.6451935483870967,0.6038709677419355,0.6468064516129032,0.6096451612903224,0.6461935483870969,0.6094516129032256,0.6461290322580644,0.6077741935483871,0.6465161290322581,0.6085806451612903,0.6453548387096776,0.6052580645161288,0.645483870967742,0.6026451612903226,0.645,0.6053548387096772
14,0.5950645161290323,0.48664516129032265,0.5958709677419356,0.48625806451612896,0.5951290322580646,0.4848064516129032,0.5974516129032258,0.4892580645161289,0.5965483870967742,0.4889032258064516,0.5965483870967743,0.48758064516129035,0.5970967741935483,0.48835483870967744,0.5955806451612905,0.48583870967741916,0.5956451612903225,0.4838709677419355,0.5950322580645161,0.4858387096774194
15,0.5009354838709676,0.30980645161290327,0.5019677419354838,0.3090967741935485,0.5010967741935484,0.3083870967741936,0.5039354838709676,0.31083870967741933,0.5026129032258064,0.31087096774193534,0.5028387096774193,0.3099032258064516,0.5035806451612903,0.31035483870967734,0.5015806451612903,0.309,0.501709677419355,0.3076774193548387,0.5008387096774194,0.30932258064516127
16,0.3391290322580645,0.08341935483870967,0.33990322580645155,0.08325806451612904,0.3391935483870968,0.08309677419354836,0.34116129032258063,0.08267741935483869,0.3403870967741935,0.08274193548387093,0.34045161290322584,0.08280645161290322,0.3409354838709677,0.08264516129032258,0.3396451612903226,0.08325806451612904,0.33958064516129033,0.08283870967741935,0.33903225806451626,0.08329032258064516
17,0.10593548387096777,0.0,0.10619354838709677,0.0,0.10600000000000002,0.0,0.10716129032258065,0.0,0.10696774193548389,0.0,0.10709677419354838,0.0,0.10716129032258064,0.0,0.10603225806451615,0.0,0.10612903225806451,0.0,0.10580645161290325,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
