,time,Total Solar Generation,Total Wind Generation,Natural Gas Generation,Discharging rate,Charging rate,Demand,Battery State of Charge,wind_gen_var_1277,wind_gen_var_154,wind_gen_var_1700,wind_gen_var_1737,wind_gen_var_1804point5,wind_gen_var_1804,wind_gen_var_2048,wind_gen_var_209,wind_gen_var_249,wind_gen_var_263,wind_gen_var_356,wind_gen_var_523,wind_gen_var_530,wind_gen_var_622,wind_gen_var_739,solar_capacity_var_92,solar_capacity_var_177,solar_capacity_var_110,solar_capacity_var_94,solar_capacity_var_214,solar_capacity_var_38,solar_capacity_var_21,solar_capacity_var_112,solar_capacity_var_107,solar_capacity_var_213,solar_gen_var_107,solar_gen_var_110,solar_gen_var_112,solar_gen_var_177,solar_gen_var_21,solar_gen_var_213,solar_gen_var_214,solar_gen_var_38,solar_gen_var_92,solar_gen_var_94,Non Natural Gas Demand
10,10.0,829.539193707,3504.456990719111,0.0,0.0,0.0,2516.145825,0.0,528.3896451612903,61.883161290322576,0.0,0.0,724.4776451612903,236.6729907191116,859.2350967741938,84.44274193548387,0.0,105.67509677419353,150.0827096774194,223.05106451612906,213.7780645161291,0.0,316.7687741935483,,,,,,,,,,,75.369419379,77.46129028,78.78296776,124.74503233800002,14.798903217,150.02758070700003,150.773354818,26.749548392,64.66116132,66.16993549600001,1.0
11,11.0,839.253644968,3704.305069988908,0.0,0.0,0.0,2608.9961569999996,0.0,555.6597741935484,65.94180645161289,0.0,0.0,758.7049354838708,243.5173280534246,922.1945806451615,88.98006451612903,0.0,111.8768064516129,164.19638709677415,236.37912903225802,230.55,0.0,326.3042580645161,,,,,,,,,,,76.246129015,78.31645162000001,79.653677376,126.298064499,14.984516127000001,151.81403215500004,152.60270963600001,27.048645176,65.36748386800001,66.921935496,1.0
12,12.0,799.749709707,3771.1391228318344,0.0,0.0,0.0,2683.6914559999996,0.0,567.0703870967742,67.6656129032258,0.0,0.0,778.5544354838711,249.96130025119015,930.0562580645159,91.23187096774188,0.0,114.8291935483871,165.65483870967734,238.9435161290322,236.12354838709678,0.0,331.0481612903225,,,,,,,,,,,72.604677409,74.5622581,75.74090328,120.59980650300001,14.30438709,144.743806431,145.637354818,25.743161294000004,62.120774151999996,63.69258063,1.0
13,13.0,714.931290387,3708.848380683214,0.0,0.0,0.0,2611.463938,0.0,558.2137741935483,66.65716129032256,0.0,0.0,768.0766935483873,247.4447193928911,909.312,89.82280645161289,0.0,113.14090322580644,160.95793548387098,234.52332258064519,232.2254838709678,0.0,328.47358064516123,,,,,,,,,,,64.907580621,66.64580648,67.633548416,107.90719349700001,12.798483873,129.455903322,130.23625803,22.99980647,55.443354811999995,56.903354866,1.0
14,14.0,573.732838959,3643.78072380625,0.0,0.0,0.0,2533.465173,0.0,554.7535161290322,65.12709677419356,0.0,0.0,760.3348064516128,247.61630445141145,874.4299354838708,88.92612903225805,0.0,111.03690322580645,155.22748387096772,232.21200000000005,224.73709677419353,0.0,329.3794516129032,,,,,,,,,,,52.071032226999996,53.48838715,54.29832262400001,86.598677505,10.266967746,103.854677385,104.507935546,18.46187098,44.516129056,45.66883874,1.0
15,15.0,364.78600021200003,3603.133460720619,0.0,0.0,0.0,2491.916684,0.0,555.9893225806451,64.29251612903226,0.0,0.0,762.8378225806451,251.8106058819096,838.6890322580646,89.11490322580644,0.0,110.31577419354836,149.74967741935478,230.84545161290322,218.82161290322588,0.0,330.6667419354838,,,,,,,,,,,33.149290364,34.00064514,34.539354864,55.018451670000005,6.5282903280000015,66.00938713800001,66.415935546,11.742,28.306322548,29.076322614000006,1.0
16,16.0,97.700677503,3702.0924749839137,0.0,0.0,0.0,2462.751977,0.0,569.583193548387,66.31935483870969,0.0,0.0,784.9575000000001,258.6358782097204,860.754580645161,91.50154838709679,0.0,113.6753870967742,157.22567741935487,237.76254838709673,225.5748387096774,0.0,336.1019677419355,,,,,,,,,,,8.925870985,9.158387150000001,9.306838688,14.633903163000001,1.737580635,17.637774276000002,17.686064453999997,3.1638064700000004,7.621161319999999,7.829290362,1.0
17,17.0,0.0,3988.7266564644797,0.0,0.0,0.0,2543.498955,0.0,609.7469032258065,71.43116129032258,0.0,0.0,835.2506612903225,271.96231775480334,946.3741935483872,97.86593548387096,0.0,121.93019354838708,177.3913548387097,259.98161290322577,245.21903225806446,0.0,351.5732903225806,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,18.0,0.0,4292.823735446229,0.0,0.0,0.0,2849.980762,0.0,655.8836774193549,76.40883870967743,0.0,0.0,888.7453548387097,286.9474128655832,1036.618322580645,104.99890322580644,0.0,130.11712903225802,194.77793548387098,278.6409032258064,263.8203225806452,0.0,375.86493548387097,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,19.0,0.0,4556.090409890902,0.0,0.0,0.0,2789.96877,0.0,699.5488387096776,80.65625806451611,0.0,0.0,941.1922741935484,303.76274860058044,1106.250322580645,111.63970967741935,0.0,137.4302258064516,202.92000000000007,294.0440967741936,278.48935483870963,0.0,400.15658064516117,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
